Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
D;Derendingen;02.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;02.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;02.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;02.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;03.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;03.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;03.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;03.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;04.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;04.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;04.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;04.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;05.01.2019;;;Einmalig
D;Derendingen;07.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;07.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;07.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;07.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;08.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;08.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;08.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;08.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;08.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;08.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;09.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;09.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;09.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;09.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;10.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;10.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;10.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;10.01.2019;Umstieg LMS-koha;;Einmalig
D;Derendingen;11.01.2019;Umstieg LMS-koha;;Einmalig
eBib;Onleihe Neckar-Alb;11.01.2019;Umstieg LMS-koha;;Einmalig
Hi;Hirschau;11.01.2019;Umstieg LMS-koha;;Einmalig
HST;Hauptstelle Tübingen;11.01.2019;Umstieg LMS-koha;;Einmalig
MZU;Medienzentrum;11.01.2019;Umstieg LMS-koha;;Einmalig
WO;Waldhäuser-Ost;11.01.2019;Umstieg LMS-koha;;Einmalig
